Type,Blending_Time,LPM,IP (mg),PRE (mg),Stage 1 (mg),Stage 2 (mg),Stage 3 (mg),Stage 4 (mg),Stage 5 (mg),Stage 6 (mg),Stage 7 (mg),Stage 8 (mg),Remaining (mg),Mouth (mg),PTP/Vial (mg),ED (mg),FPD (mg),FPF (%),RD (mg),SUM_ALL (mg),19.9008,19.8811,19.9205,15.8019,18.8761,19.8614,16.5704,23.7239,15.3092,16.6493,diam_um_d10,diam_um_d50,diam_um_mean,diam_um_d90,diam_um_span,length_um_d10,length_um_d50,length_um_mean,length_um_d90,length_um_span,width_um_d10,width_um_d50,width_um_mean,width_um_d90,width_um_span,area_um2_d10,area_um2_d50,area_um2_mean,area_um2_d90,area_um2_span,aspect_ratio_median,aspect_ratio_mean,azimuth_deg_sin_mean,azimuth_deg_cos_mean,polar_deg_sin_mean,polar_deg_cos_mean,FPO_sin_mean,FPO_cos_mean,FAD_sin_mean,FAD_cos_mean,MFOV_mean,MFOV_max,MFOV_min,MRV_mean,MRV_max,MRV_min,SA_mean,SA_max,SA_min,azimuth_deg_sin_std,azimuth_deg_cos_std,polar_deg_sin_std,polar_deg_cos_std,FPO_sin_std,FPO_cos_std,FAD_sin_std,FAD_cos_std
NE_Needle_1,90,40,2.146078187,4.7886015,0.25581977,0.305554318,0.268743242,0.399935347,0.443840272,0.244176592,0.053420683,0.019527918,1.215626295,0.877042759,2.340842882,8.925697829,1.429644054,16.01716842,10.14132412,13.35920977,0.642384106,0.637969095,0.6401766,0.033112583,0.227373068,0.584988962,0.114790287,0.174392936,0.033112583,0.08388521,0.963,1.751,2.0529,3.455,1.4232,1.3548,2.447,2.7521,4.8926,1.4458,0.7422,1.478,1.7564,3.1798,1.6493,0.7286,2.4082,4.3025,9.3736,3.5898,1.556,1.703,0.6341,0.0076,0.8421,0.5267,0.9991,0.0414,0.6399,0.0398,0.6372,1.973,0.217,0.3046,0.9078,0.0015,79.4494,814.6571,2.7367,0.3164,0.7055,0.0585,0.1002,0.0007,0.0127,0.3096,0.7022
NE_Needle_2,90,40,1.627816725,4.920864395,0.209232181,0.236870333,0.222841386,0.425550424,0.568545546,0.343568829,0.060704087,0.018463148,1.465340983,0.656986988,3.132530731,8.634457053,1.63967342,18.98988448,10.09979804,13.88931575,0.889312977,0.950381679,0.633587786,0.026717557,0.198473282,1.0,0.129770992,0.122137405,0.034351145,0.103053435,0.963,1.751,2.0529,3.455,1.4232,1.3548,2.447,2.7521,4.8926,1.4458,0.7422,1.478,1.7564,3.1798,1.6493,0.7286,2.4082,4.3025,9.3736,3.5898,1.556,1.703,0.6341,0.0076,0.8421,0.5267,0.9991,0.0414,0.6399,0.0398,0.6372,1.973,0.217,0.3046,0.9078,0.0015,79.4494,814.6571,2.7367,0.3164,0.7055,0.0585,0.1002,0.0007,0.0127,0.3096,0.7022
NE_Needle_1,90,40,1.656167278,4.995560765,0.244527945,0.26882787,0.239956533,0.407872985,0.541770572,0.315633817,0.058196418,0.021365149,1.37337743,0.632682758,2.970076972,8.749879332,1.584795474,18.11219805,10.12325676,13.72601649,0.642384106,0.637969095,0.6401766,0.033112583,0.227373068,0.584988962,0.114790287,0.174392936,0.033112583,0.08388521,0.963,1.751,2.0529,3.455,1.4232,1.3548,2.447,2.7521,4.8926,1.4458,0.7422,1.478,1.7564,3.1798,1.6493,0.7286,2.4082,4.3025,9.3736,3.5898,1.556,1.703,0.6341,0.0076,0.8421,0.5267,0.9991,0.0414,0.6399,0.0398,0.6372,1.973,0.217,0.3046,0.9078,0.0015,79.4494,814.6571,2.7367,0.3164,0.7055,0.0585,0.1002,0.0007,0.0127,0.3096,0.7022
NE_Needle_2,30,60,1.528950556,3.734004775,0.344889931,0.44005973,0.4579809,1.039521017,1.147696676,0.416504091,0.055519285,0.023793335,1.672608413,0.552911692,2.754649976,9.188920296,3.141015305,34.18263739,10.86152871,14.16909038,0.889312977,0.950381679,0.633587786,0.026717557,0.198473282,1.0,0.129770992,0.122137405,0.034351145,0.103053435,0.963,1.751,2.0529,3.455,1.4232,1.3548,2.447,2.7521,4.8926,1.4458,0.7422,1.478,1.7564,3.1798,1.6493,0.7286,2.4082,4.3025,9.3736,3.5898,1.556,1.703,0.6341,0.0076,0.8421,0.5267,0.9991,0.0414,0.6399,0.0398,0.6372,1.973,0.217,0.3046,0.9078,0.0015,79.4494,814.6571,2.7367,0.3164,0.7055,0.0585,0.1002,0.0007,0.0127,0.3096,0.7022
NE_Needle_1,30,60,1.708707055,3.911063614,0.336016038,0.434839788,0.447825104,0.972054223,1.071637484,0.397975305,0.056002654,0.020445554,1.523183018,0.554961506,2.570511478,9.356566819,2.965940324,31.6990236,10.87974984,14.00522282,0.642384106,0.637969095,0.6401766,0.033112583,0.227373068,0.584988962,0.114790287,0.174392936,0.033112583,0.08388521,0.963,1.751,2.0529,3.455,1.4232,1.3548,2.447,2.7521,4.8926,1.4458,0.7422,1.478,1.7564,3.1798,1.6493,0.7286,2.4082,4.3025,9.3736,3.5898,1.556,1.703,0.6341,0.0076,0.8421,0.5267,0.9991,0.0414,0.6399,0.0398,0.6372,1.973,0.217,0.3046,0.9078,0.0015,79.4494,814.6571,2.7367,0.3164,0.7055,0.0585,0.1002,0.0007,0.0127,0.3096,0.7022
NE_Needle_2,30,60,1.189001994,3.872121143,0.362554805,0.369411993,0.416125788,1.241134485,1.398335019,0.51784944,0.064579897,0.0284548,1.652313409,0.445019874,2.862531259,9.459569364,3.666479429,38.75947507,11.11188277,14.41943391,0.889312977,0.950381679,0.633587786,0.026717557,0.198473282,1.0,0.129770992,0.122137405,0.034351145,0.103053435,0.963,1.751,2.0529,3.455,1.4232,1.3548,2.447,2.7521,4.8926,1.4458,0.7422,1.478,1.7564,3.1798,1.6493,0.7286,2.4082,4.3025,9.3736,3.5898,1.556,1.703,0.6341,0.0076,0.8421,0.5267,0.9991,0.0414,0.6399,0.0398,0.6372,1.973,0.217,0.3046,0.9078,0.0015,79.4494,814.6571,2.7367,0.3164,0.7055,0.0585,0.1002,0.0007,0.0127,0.3096,0.7022
NE_Needle_1,60,60,1.017386092,3.358520007,0.31291094,0.397208165,0.558162712,1.552141572,1.41066568,0.498737363,0.063287424,0.02255721,1.497883491,0.466344895,3.160113829,9.191577165,4.105551961,44.66645808,10.68946066,14.31591938,0.642384106,0.637969095,0.6401766,0.033112583,0.227373068,0.584988962,0.114790287,0.174392936,0.033112583,0.08388521,0.963,1.751,2.0529,3.455,1.4232,1.3548,2.447,2.7521,4.8926,1.4458,0.7422,1.478,1.7564,3.1798,1.6493,0.7286,2.4082,4.3025,9.3736,3.5898,1.556,1.703,0.6341,0.0076,0.8421,0.5267,0.9991,0.0414,0.6399,0.0398,0.6372,1.973,0.217,0.3046,0.9078,0.0015,79.4494,814.6571,2.7367,0.3164,0.7055,0.0585,0.1002,0.0007,0.0127,0.3096,0.7022
NE_Needle_2,60,60,1.374925154,3.545304489,0.338929659,0.454418436,0.557736181,1.263763669,1.243529108,0.386218205,0.05566789,0.018432174,1.309179391,0.61948255,2.951751844,9.238924964,3.525347226,38.15754798,10.54810435,14.11933875,0.889312977,0.950381679,0.633587786,0.026717557,0.198473282,1.0,0.129770992,0.122137405,0.034351145,0.103053435,0.963,1.751,2.0529,3.455,1.4232,1.3548,2.447,2.7521,4.8926,1.4458,0.7422,1.478,1.7564,3.1798,1.6493,0.7286,2.4082,4.3025,9.3736,3.5898,1.556,1.703,0.6341,0.0076,0.8421,0.5267,0.9991,0.0414,0.6399,0.0398,0.6372,1.973,0.217,0.3046,0.9078,0.0015,79.4494,814.6571,2.7367,0.3164,0.7055,0.0585,0.1002,0.0007,0.0127,0.3096,0.7022
NE_Needle_1,60,60,1.188356265,3.527305184,0.306743964,0.389816929,0.465616744,1.150921646,1.15870088,0.394575165,0.060509389,0.018900914,1.399256714,0.494918391,3.08214188,8.661447078,3.249224737,37.51364763,10.06070379,13.63776406,0.642384106,0.637969095,0.6401766,0.033112583,0.227373068,0.584988962,0.114790287,0.174392936,0.033112583,0.08388521,0.963,1.751,2.0529,3.455,1.4232,1.3548,2.447,2.7521,4.8926,1.4458,0.7422,1.478,1.7564,3.1798,1.6493,0.7286,2.4082,4.3025,9.3736,3.5898,1.556,1.703,0.6341,0.0076,0.8421,0.5267,0.9991,0.0414,0.6399,0.0398,0.6372,1.973,0.217,0.3046,0.9078,0.0015,79.4494,814.6571,2.7367,0.3164,0.7055,0.0585,0.1002,0.0007,0.0127,0.3096,0.7022
NE_Needle_2,90,60,0.981075955,3.216725311,0.269305289,0.356699179,0.560446038,1.679165171,1.539196715,0.464253783,0.059260909,0.019358104,1.552262703,0.493452674,2.841801079,9.145486455,4.32168072,47.2547933,10.69774916,14.03300291,0.889312977,0.950381679,0.633587786,0.026717557,0.198473282,1.0,0.129770992,0.122137405,0.034351145,0.103053435,0.963,1.751,2.0529,3.455,1.4232,1.3548,2.447,2.7521,4.8926,1.4458,0.7422,1.478,1.7564,3.1798,1.6493,0.7286,2.4082,4.3025,9.3736,3.5898,1.556,1.703,0.6341,0.0076,0.8421,0.5267,0.9991,0.0414,0.6399,0.0398,0.6372,1.973,0.217,0.3046,0.9078,0.0015,79.4494,814.6571,2.7367,0.3164,0.7055,0.0585,0.1002,0.0007,0.0127,0.3096,0.7022
