Angle,NE_Raw_1,NE_Needle_1,NE_Rod_1,NE_Small_Square_1,NE_Raw_2,NE_Needle_2,NE_Rod_2,NE_Small_Square_2
4.29329,0.019893899,0.249448124,0.076576577,0.208480565,0.051603905,0.217557252,0.127055306,0.184100418
4.313,0.021220159,0.242825607,0.092342342,0.240282686,0.046025105,0.255725191,0.119581465,0.163179916
4.3327,0.018567639,0.240618102,0.085585586,0.215547703,0.048814505,0.236641221,0.137518685,0.165271967
4.35241,0.021220159,0.240618102,0.072072072,0.215547703,0.046025105,0.286259542,0.112107623,0.150627615
4.37212,0.01193634,0.249448124,0.087837838,0.250883392,0.043933054,0.213740458,0.094170404,0.186192469
4.39182,0.013262599,0.271523179,0.084459459,0.272084806,0.059274756,0.267175573,0.112107623,0.175732218
4.41153,0.021220159,0.273730684,0.084459459,0.22614841,0.038354254,0.248091603,0.098654709,0.188284519
4.43124,0.01193634,0.258278146,0.082207207,0.190812721,0.041143654,0.221374046,0.092675635,0.19665272
4.45094,0.015915119,0.267108168,0.083333333,0.261484099,0.042538354,0.209923664,0.109118087,0.173640167
4.47065,0.021220159,0.289183223,0.085585586,0.219081272,0.045327755,0.251908397,0.127055306,0.211297071
4.49036,0.022546419,0.27593819,0.108108108,0.233215548,0.049511855,0.221374046,0.10612855,0.182008368
4.51006,0.00928382,0.245033113,0.087837838,0.201413428,0.054393305,0.267175573,0.121076233,0.192468619
4.52977,0.019893899,0.209713024,0.076576577,0.229681979,0.048117155,0.255725191,0.128550075,0.192468619
4.54948,0.029177719,0.229580574,0.074324324,0.22614841,0.051603905,0.27480916,0.122571001,0.211297071
4.56918,0.017241379,0.267108168,0.066441441,0.272084806,0.052301255,0.232824427,0.118086697,0.163179916
4.58889,0.022546419,0.260485651,0.070945946,0.22614841,0.053695955,0.240458015,0.121076233,0.175732218
4.6086,0.018567639,0.236203091,0.068693694,0.22614841,0.038354254,0.221374046,0.118086697,0.182008368
4.6283,0.015915119,0.236203091,0.085585586,0.204946996,0.028591353,0.229007634,0.119581465,0.19665272
4.64801,0.015915119,0.236203091,0.079954955,0.19434629,0.041841004,0.263358779,0.104633782,0.156903766
4.66771,0.013262599,0.249448124,0.079954955,0.204946996,0.036262204,0.209923664,0.109118087,0.173640167
4.68742,0.017241379,0.209713024,0.058558559,0.212014134,0.050209205,0.22519084,0.10612855,0.19874477
4.70713,0.01193634,0.231788079,0.078828829,0.22614841,0.031380753,0.183206107,0.085201794,0.165271967
