     Angle,NE_Needle
8.70755,0.094922737
8.72725,0.123620309
8.74696,0.097130243
8.76667,0.097130243
8.78637,0.094922737
8.80608,0.090507726
8.82579,0.068432671
8.84549,0.066225166
8.8652,0.081677704
8.88491,0.068432671
8.90461,0.075055188
8.92432,0.077262693
8.94403,0.077262693
8.96373,0.088300221
8.98344,0.105960265
9.00315,0.088300221
9.02285,0.088300221
9.04256,0.075055188
9.06226,0.059602649
9.08197,0.070640177
9.10168,0.097130243
9.12138,0.090507726
9.14109,0.105960265
9.1608,0.088300221
9.1805,0.097130243
9.20021,0.077262693
9.21992,0.086092715
9.23962,0.105960265
9.25933,0.130242826
9.27904,0.132450331
9.29874,0.167770419
9.31845,0.161147903
9.33816,0.167770419
9.35786,0.134657837
9.37757,0.183222958
9.39727,0.10816777
9.41698,0.156732892
9.43669,0.121412804
9.45639,0.136865342
9.4761,0.094922737
9.49581,0.110375276
9.51551,0.114790287
9.53522,0.17218543
9.55493,0.154525386
9.57463,0.181015453
9.59434,0.203090508
9.61405,0.216335541
9.63375,0.293598234
9.65346,0.245033113
9.67317,0.298013245
9.69287,0.284768212
9.71258,0.264900662
9.73229,0.260485651
9.75199,0.214128035
9.7717,0.167770419
9.7914,0.121412804
9.81111,0.116997792
9.83082,0.094922737
9.85052,0.114790287
9.87023,0.08388521
9.88994,0.066225166
9.90964,0.068432671
9.92935,0.06401766
9.94906,0.079470199
9.96876,0.072847682
9.98847,0.057395143
10.0082,0.077262693
10.0279,0.057395143
10.0476,0.099337748
10.0673,0.072847682
10.087,0.066225166
10.1067,0.099337748
10.1264,0.077262693
10.1461,0.068432671
10.1658,0.066225166
10.1855,0.059602649
10.2052,0.048565121
10.2249,0.055187638
10.2447,0.079470199
10.2644,0.072847682
10.2841,0.066225166
10.3038,0.072847682
10.3235,0.061810155
10.3432,0.059602649
10.3629,0.075055188
10.3826,0.052980132
10.4023,0.075055188
10.422,0.052980132
10.4417,0.052980132
10.4614,0.066225166
10.4811,0.052980132
10.5008,0.059602649
10.5205,0.061810155
10.5403,0.094922737
10.56,0.068432671
10.5797,0.08388521
10.5994,0.055187638
10.6191,0.077262693
10.6388,0.059602649
10.6585,0.068432671
10.6782,0.066225166
10.6979,0.06401766
10.7176,0.081677704
10.7373,0.059602649
10.757,0.077262693
10.7767,0.066225166
10.7964,0.052980132
10.8161,0.072847682
10.8358,0.068432671
10.8556,0.04415011
10.8753,0.061810155
10.895,0.046357616
10.9147,0.052980132
10.9344,0.050772627
10.9541,0.070640177
10.9738,0.059602649
10.9935,0.077262693
11.0132,0.061810155
11.0329,0.057395143
11.0526,0.086092715
11.0723,0.055187638
11.092,0.061810155
11.1117,0.066225166
11.1314,0.097130243
11.1512,0.08388521
11.1709,0.088300221
11.1906,0.081677704
11.2103,0.08388521
11.23,0.105960265
11.2497,0.116997792
11.2694,0.116997792
11.2891,0.123620309
11.3088,0.156732892
11.3285,0.17218543
11.3482,0.198675497
11.3679,0.3200883
11.3876,0.315673289
11.4073,0.388520971
11.427,0.426048565
11.4468,0.441501104
11.4665,0.353200883
11.4862,0.311258278
11.5059,0.348785872
11.5256,0.262693157
11.5453,0.205298013
11.565,0.143487859
11.5847,0.121412804
11.6044,0.068432671
11.6241,0.092715232
11.6438,0.079470199
11.6635,0.06401766
11.6832,0.097130243
11.7029,0.092715232
11.7226,0.068432671
11.7423,0.066225166
11.7621,0.066225166
11.7818,0.081677704
11.8015,0.079470199
11.8212,0.061810155
11.8409,0.081677704
11.8606,0.066225166
11.8803,0.050772627
11.9,0.066225166
11.9197,0.055187638
11.9394,0.035320088
11.9591,0.052980132
11.9788,0.039735099
11.9985,0.066225166
12.0182,0.052980132
12.0379,0.068432671
12.0577,0.072847682
12.0774,0.070640177
12.0971,0.070640177
12.1168,0.041942605
12.1365,0.057395143
12.1562,0.06401766
12.1759,0.072847682
12.1956,0.06401766
12.2153,0.070640177
12.235,0.068432671
12.2547,0.055187638
12.2744,0.052980132
12.2941,0.070640177
12.3138,0.055187638
12.3335,0.052980132
12.3532,0.061810155
12.373,0.057395143
12.3927,0.057395143
12.4124,0.06401766
12.4321,0.061810155
12.4518,0.052980132
12.4715,0.06401766
12.4912,0.052980132
12.5109,0.059602649
12.5306,0.033112583
12.5503,0.057395143
12.57,0.048565121
12.5897,0.061810155
12.6094,0.057395143
12.6291,0.04415011
12.6488,0.048565121
12.6686,0.057395143
12.6883,0.075055188
12.708,0.057395143
12.7277,0.072847682
12.7474,0.050772627
12.7671,0.08388521
12.7868,0.057395143
12.8065,0.046357616
12.8262,0.057395143
12.8459,0.066225166
12.8656,0.06401766
12.8853,0.06401766
12.905,0.048565121
12.9247,0.06401766
12.9444,0.097130243
12.9642,0.075055188
12.9839,0.090507726
13.0036,0.116997792
13.0233,0.110375276
13.043,0.099337748
13.0627,0.094922737
13.0824,0.077262693
13.1021,0.081677704
13.1218,0.077262693
13.1415,0.101545254
13.1612,0.092715232
13.1809,0.110375276
13.2006,0.090507726
13.2203,0.121412804
13.24,0.081677704
13.2597,0.057395143
13.2795,0.075055188
13.2992,0.06401766
13.3189,0.052980132
13.3386,0.059602649
13.3583,0.052980132
13.378,0.075055188
13.3977,0.079470199
13.4174,0.079470199
13.4371,0.06401766
13.4568,0.150110375
13.4765,0.116997792
13.4962,0.125827815
13.5159,0.156732892
13.5356,0.156732892
13.5553,0.185430464
