Angle,NE_Small_Square_2
13.0036,0.09832636
13.0233,0.058577406
13.043,0.060669456
13.0627,0.060669456
13.0824,0.062761506
13.1021,0.056485356
13.1218,0.060669456
13.1415,0.071129707
13.1612,0.058577406
13.1809,0.037656904
13.2006,0.039748954
13.2203,0.037656904
13.24,0.039748954
13.2597,0.050209205
13.2795,0.037656904
13.2992,0.062761506
13.3189,0.050209205
13.3386,0.041841004
13.3583,0.033472803
13.378,0.058577406
13.3977,0.058577406
13.4174,0.077405858
13.4371,0.09623431
13.4568,0.09623431
13.4765,0.146443515
13.4962,0.131799163
13.5159,0.112970711
13.5356,0.129707113
13.5553,0.089958159
13.5751,0.041841004
13.5948,0.062761506
13.6145,0.052301255
13.6342,0.056485356
13.6539,0.037656904
13.6736,0.041841004
13.6933,0.046025105
13.713,0.035564854
13.7327,0.046025105
13.7524,0.041841004
13.7721,0.043933054
13.7918,0.037656904
13.8115,0.079497908
13.8312,0.035564854
13.8509,0.079497908
13.8707,0.054393305
13.8904,0.071129707
13.9101,0.09832636
13.9298,0.125523013
13.9495,0.148535565
13.9692,0.154811715
13.9889,0.217573222
14.0086,0.127615063
14.0283,0.129707113
14.048,0.087866109
14.0677,0.052301255
14.0874,0.031380753
14.1071,0.041841004
14.1268,0.029288703
14.1465,0.048117155
14.1662,0.043933054
14.186,0.035564854
14.2057,0.023012552
14.2254,0.033472803
14.2451,0.031380753
14.2648,0.039748954
14.2845,0.023012552
14.3042,0.052301255
14.3239,0.039748954
14.3436,0.048117155
14.3633,0.052301255
14.383,0.020920502
14.4027,0.027196653
14.4224,0.035564854
14.4421,0.031380753
14.4618,0.035564854
14.4816,0.050209205
14.5013,0.023012552
14.521,0.037656904
14.5407,0.041841004
14.5604,0.031380753
14.5801,0.023012552
14.5998,0.035564854
14.6195,0.029288703
14.6392,0.025104603
14.6589,0.048117155
14.6786,0.027196653
14.6983,0.039748954
14.718,0.043933054
14.7377,0.025104603
14.7574,0.029288703
14.7771,0.043933054
14.7969,0.025104603
14.8166,0.046025105
14.8363,0.031380753
14.856,0.029288703
14.8757,0.033472803
14.8954,0.043933054
14.9151,0.037656904
14.9348,0.046025105
14.9545,0.035564854
14.9742,0.037656904
14.9939,0.029288703
15.0136,0.043933054
15.0333,0.029288703
15.053,0.046025105
15.0727,0.046025105
15.0925,0.023012552
15.1122,0.050209205
15.1319,0.037656904
15.1516,0.035564854
15.1713,0.033472803
15.191,0.039748954
15.2107,0.037656904
15.2304,0.025104603
15.2501,0.031380753
15.2698,0.046025105
15.2895,0.031380753
15.3092,0.050209205
15.3289,0.031380753
15.3486,0.027196653
