     Angle,NE_Rod
11.7029,0.024774775
11.7226,0.025900901
11.7423,0.025900901
11.7621,0.028153153
11.7818,0.022522523
11.8015,0.032657658
11.8212,0.016891892
11.8409,0.025900901
11.8606,0.027027027
11.8803,0.018018018
11.9,0.022522523
11.9197,0.021396396
11.9394,0.019144144
11.9591,0.024774775
11.9788,0.018018018
11.9985,0.021396396
12.0182,0.029279279
12.0379,0.016891892
12.0577,0.021396396
12.0774,0.021396396
12.0971,0.029279279
12.1168,0.019144144
12.1365,0.01463964
12.1562,0.023648649
12.1759,0.015765766
12.1956,0.013513514
12.2153,0.01463964
12.235,0.025900901
12.2547,0.016891892
12.2744,0.018018018
12.2941,0.022522523
12.3138,0.021396396
12.3335,0.021396396
12.3532,0.016891892
12.373,0.013513514
12.3927,0.01463964
12.4124,0.023648649
12.4321,0.037162162
12.4518,0.016891892
12.4715,0.016891892
12.4912,0.022522523
12.5109,0.010135135
12.5306,0.029279279
12.5503,0.028153153
12.57,0.016891892
12.5897,0.019144144
12.6094,0.023648649
12.6291,0.028153153
12.6488,0.028153153
12.6686,0.021396396
12.6883,0.019144144
12.708,0.02027027
12.7277,0.025900901
12.7474,0.02027027
12.7671,0.021396396
12.7868,0.025900901
12.8065,0.022522523
12.8262,0.025900901
12.8459,0.019144144
12.8656,0.018018018
12.8853,0.021396396
12.905,0.036036036
12.9247,0.027027027
12.9444,0.029279279
12.9642,0.037162162
12.9839,0.033783784
13.0036,0.041666667
13.0233,0.033783784
13.043,0.041666667
13.0627,0.039414414
13.0824,0.036036036
13.1021,0.021396396
13.1218,0.03490991
13.1415,0.037162162
13.1612,0.031531532
13.1809,0.018018018
13.2006,0.027027027
13.2203,0.038288288
13.24,0.032657658
13.2597,0.031531532
13.2795,0.030405405
13.2992,0.027027027
13.3189,0.024774775
13.3386,0.021396396
13.3583,0.021396396
13.378,0.02027027
13.3977,0.027027027
13.4174,0.028153153
13.4371,0.037162162
13.4568,0.041666667
13.4765,0.037162162
13.4962,0.054054054
13.5159,0.057432432
13.5356,0.101351351
13.5553,0.078828829
13.5751,0.083333333
13.5948,0.092342342
13.6145,0.074324324
13.6342,0.047297297
13.6539,0.042792793
13.6736,0.031531532
13.6933,0.023648649
13.713,0.023648649
13.7327,0.030405405
13.7524,0.024774775
13.7721,0.019144144
13.7918,0.032657658
13.8115,0.033783784
13.8312,0.031531532
13.8509,0.024774775
13.8707,0.02027027
13.8904,0.033783784
13.9101,0.036036036
13.9298,0.045045045
13.9495,0.041666667
13.9692,0.063063063
13.9889,0.095720721
14.0086,0.100225225
14.0283,0.113738739
14.048,0.111486486
14.0677,0.144144144
14.0874,0.130630631
14.1071,0.093468468
14.1268,0.086711712
14.1465,0.051801802
14.1662,0.03490991
14.186,0.030405405
14.2057,0.015765766
14.2254,0.031531532
14.2451,0.022522523
14.2648,0.013513514
14.2845,0.015765766
14.3042,0.023648649
